Kind;Name;CountInput;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountOutput;CountPath;CountPathLog;CountStmt;CountStmtDecl;CountStmtExe;Cyclomatic;CyclomaticModified;CyclomaticStrict;Essential;Knots;MaxEssentialKnots;MaxNesting;MinEssentialKnots
File;Maven__commons_io_commons_io_1_4.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__commons_lang_commons_lang_2_4.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__joda_time_joda_time_2_9_7.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__junit_junit_4_12.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_apache_ant_ant_1_8_4.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_apache_ant_ant_launcher_1_8_4.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_hamcrest_hamcrest_all_1_3.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_hamcrest_hamcrest_core_1_3.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Maven__org_infinitest_continuous_testing_toolkit_1_0.xml;;13;;;;0;0;0;0;0;0;0;0;0;;;0;
File;Messages.java;;16;10;6;;;;13;10;3;;;;;;;0;
File;MessagesUtilityClassTest.java;;7;4;1;;;;5;4;1;;;;;;;0;
File;MethodInvokingValueConverter.java;;24;14;5;;;;16;11;5;;;;;;;0;
File;MissingRequiredOptionsException.java;;12;7;3;;;;8;6;2;;;;;;;0;
File;MultipleArgumentsForOptionException.java;;12;7;3;;;;8;6;2;;;;;;;0;
File;MultipleDelimitedArgumentsTest.java;;27;19;11;;;;19;16;3;;;;;;;0;
File;NoArgumentOptionSpec.java;;49;26;11;;;;27;16;11;;;;;;;0;
File;NoArgumentOptionSpecOptionsImmutabilityTest.java;;7;4;1;;;;4;3;1;;;;;;;0;
File;NoArgumentOptionSpecTest.java;;19;12;3;;;;12;9;3;;;;;;;0;
File;NoArgumentOptionSpecValuesImmutabilityTest.java;;23;12;5;;;;12;7;5;;;;;;;0;
File;NonOptionArgumentSpec.java;;74;38;22;;;;45;25;20;;;;;;;1;
File;NonOptionArgumentSpecTest.java;;71;43;33;;;;45;34;11;;;;;;;0;
File;OptionArgumentConversionException.java;;14;8;4;;;;10;7;3;;;;;;;0;
File;OptionArgumentConverterTest.java;;19;13;6;;;;16;12;4;;;;;;;0;
File;OptionArgumentValueTypeTest.java;;21;10;11;;;;18;9;9;;;;;;;0;
File;OptionDeclarer.java;;13;12;0;;;;12;12;0;;;;;;;0;
File;OptionDescriptor.java;;15;14;0;;;;14;14;0;;;;;;;0;
File;OptionException.java;;72;34;27;;;;56;34;22;;;;;;;2;
File;OptionExceptionLocalizedMessageTest.java;;49;18;27;;;;19;15;4;;;;;;;0;
File;OptionExceptionMessageTest.java;;105;29;69;;;;35;21;14;;;;;;;1;
File;OptionExceptionOptionsImmutabilityTest.java;;24;11;8;;;;14;10;4;;;;;;;0;
File;OptionMissingRequiredArgumentException.java;;12;7;3;;;;8;6;2;;;;;;;0;
File;OptionNameMap.java;;10;9;0;;;;9;9;0;;;;;;;0;
File;OptionParser.java;;314;112;158;;;;246;116;130;;;;;;;3;
File;OptionParserAlternateHelpFormatterTest.java;;49;24;24;;;;40;22;18;;;;;;;0;
File;OptionParserArgumentExceptionTest.java;;41;22;9;;;;22;13;9;;;;;;;0;
File;OptionParserNewDeclarationTest.java;;243;57;184;;;;208;41;167;;;;;;;0;
File;OptionParserOptionExceptionTest.java;;46;18;23;;;;33;12;21;;;;;;;0;
File;OptionParserRecognizedOptionsTest.java;;32;12;18;;;;25;10;15;;;;;;;0;
File;OptionParserState.java;;39;7;26;;;;27;9;18;;;;;;;2;
File;OptionParserTest.java;;239;78;156;;;;185;56;129;;;;;;;0;
File;OptionParserUnrecognizedOptionsAllowedTest.java;;20;11;7;;;;15;9;6;;;;;;;0;
File;OptionSet.java;;153;60;84;;;;122;61;61;;;;;;;2;
File;OptionSetAsMapTest.java;;36;22;20;;;;30;21;9;;;;;;;0;
File;OptionSetDetectedOptionsTest.java;;16;13;7;;;;13;12;1;;;;;;;0;
File;OptionSetEqualsHashCodeTest.java;;25;14;9;;;;16;10;6;;;;;;;0;
File;OptionSetNonOptionArgumentsImmutabilityTest.java;;23;14;7;;;;15;10;5;;;;;;;0;
File;OptionSetSpecsImmutabilityTest.java;;20;12;5;;;;13;9;4;;;;;;;0;
File;OptionSetSpecsWithNonOptionsTest.java;;27;11;16;;;;13;9;4;;;;;;;0;
File;OptionSetValuesOfOptionStringImmutabilityTest.java;;23;14;7;;;;15;10;5;;;;;;;0;
File;OptionSetValuesOfSpecImmutabilityTest.java;;22;13;7;;;;15;10;5;;;;;;;0;
File;OptionSpec.java;;12;9;1;;;;10;9;1;;;;;;;0;
File;OptionSpecBuilder.java;;85;27;49;;;;77;35;42;;;;;;;2;
File;OptionSpecBuilderOptionsImmutabilityTest.java;;8;5;1;;;;5;4;1;;;;;;;0;
File;OptionSpecBuilderValuesImmutabilityTest.java;;24;13;5;;;;13;8;5;;;;;;;0;
File;OptionSpecTokenizer.java;;72;18;45;;;;56;18;38;;;;;;;2;
File;OptionSpecTokenizerTest.java;;147;69;73;;;;105;50;55;;;;;;;0;
File;OptionSpecsReportTheirOptionsSortedSpeciallyTest.java;;14;11;3;;;;11;10;1;;;;;;;0;
File;OptionSynonymCommonPrefixesTest.java;;48;23;16;;;;30;15;15;;;;;;;0;
File;OptionSynonymNoArgumentTest.java;;34;17;12;;;;24;13;11;;;;;;;0;
File;OptionSynonymOptionalArgumentTest.java;;41;22;13;;;;27;17;10;;;;;;;0;
File;OptionSynonymOverwritingTest.java;;18;10;6;;;;13;8;5;;;;;;;0;
File;OptionSynonymRequiredArgumentTest.java;;42;21;15;;;;26;16;10;;;;;;;0;
File;OptionSynonymTest.java;;24;15;10;;;;21;15;6;;;;;;;1;
File;OptionalArgumentOptionSpec.java;;32;9;17;;;;21;8;13;;;;;;;2;
File;OptionalArgumentOptionSpecOptionsImmutabilityTest.java;;7;4;1;;;;4;3;1;;;;;;;0;
File;OptionalArgumentOptionSpecTest.java;;19;12;3;;;;12;9;3;;;;;;;0;
File;OptionalArgumentOptionSpecValuesImmutabilityTest.java;;24;13;5;;;;12;7;5;;;;;;;0;
Class Function;PR_DecodeHelper;;4;;;;1;0;3;1;2;1;1;1;1;;;0;
Function;PR_DecodeHelper.prototype.decode;;38;;;;22;1;26;8;18;8;8;10;1;;;4;
Class Function;PR_Token;;7;;;;2;0;5;1;4;2;2;2;1;;;1;
Function;PR_Token.prototype.toString;;3;;;;1;0;2;1;1;2;2;2;1;;;0;
Class Function;PR_TokenEnd;;10;;;;4;1;7;1;6;3;3;3;3;;;1;
Function;PR_TokenEnd.prototype.toString;;4;;;;1;0;2;1;1;2;2;2;1;;;0;
Function;PR_attribToHtml;;7;;;;1;0;2;1;1;1;1;1;1;;;0;
Function;PR_chunkify;;25;;;;5;1;18;7;11;5;5;7;5;;;4;
Function;PR_endsWith;;4;;;;1;0;2;1;1;1;1;2;1;;;0;
Function;PR_expandTabs;;40;;;;11;1;30;11;19;8;6;8;3;;;4;
Function;PR_getInnerHtml;;20;;;;8;1;14;4;10;5;5;5;1;;;2;
Function;PR_isDigitChar;;3;;;;1;0;2;1;1;1;1;2;1;;;0;
Function;PR_isIdentifierPart;;3;;;;1;0;2;1;1;1;1;2;1;;;0;
Function;PR_isIdentifierStart;;3;;;;1;0;2;1;1;1;1;4;1;;;0;
Function;PR_isRawContent;;3;;;;1;0;2;1;1;1;1;1;1;;;0;
Function;PR_isSpaceChar;;3;;;;1;0;2;1;1;1;1;1;1;;;0;
Function;PR_isWordChar;;3;;;;1;0;2;1;1;1;1;4;1;;;0;
Function;PR_lexMarkup;;7;;;;1;0;6;2;4;1;1;1;1;;;0;
Function;PR_lexOne;;18;;;;6;1;12;3;9;7;7;7;6;;;5;
Function;PR_lexSource;;13;;;;3;0;10;4;6;3;3;3;3;;;2;
Function;PR_normalizedHtml;;29;;;;15;1;20;3;17;9;6;10;6;;;3;
Function;PR_prefixMatch;;11;;;;4;1;7;1;6;4;4;4;4;;;2;
Function;PR_splitAttributeQuotes;;62;;;;1458;3;43;10;33;15;15;17;7;;;2;
Function;PR_splitChunks;;38;;;;21;1;27;10;17;8;8;8;3;;;3;
Function;PR_splitMarkup;;182;;;;8643;4;119;15;104;54;42;56;3;;;10;
Function;PR_splitNonStringNonCommentToken;;108;;;;449;3;71;15;56;28;25;37;12;;;10;
Function;PR_splitSourceAttributes;;54;;;;13;1;36;9;27;13;13;15;1;;;6;
Function;PR_splitSourceNodes;;110;;;;2945;3;66;11;55;27;27;36;5;;;7;
Function;PR_splitStringAndCommentTokens;;95;;;;66;2;67;12;55;27;23;30;1;;;12;
Function;PR_splitTagAttributes;;117;;;;137;2;82;13;69;29;22;30;1;;;7;
Function;PR_startsWith;;3;;;;1;0;2;1;1;1;1;2;1;;;0;
Function;PR_textToHtml;;6;;;;1;0;2;1;1;1;1;1;1;;;0;
Function;PR_tokenizeMarkup;;7;;;;2;0;5;2;3;2;2;3;1;;;1;
Function;PR_trim;;10;;;;4;1;7;2;5;3;3;5;1;;;1;
File;ParserRules.java;;42;18;21;;;;34;20;14;;;;;;;1;
File;ParserRulesUtilityClassTest.java;;6;3;1;;;;4;3;1;;;;;;;0;
File;ParsingSeparatedConvertedOptionValuesTest.java;;48;16;23;;;;26;16;10;;;;;;;0;
File;ParsingSeparatedStringOptionValuesTest.java;;35;19;9;;;;21;13;8;;;;;;;0;
File;ParsingSeparatedTypedOptionValuesTest.java;;30;16;9;;;;18;12;6;;;;;;;0;
File;PathConverter.java;;38;21;13;;;;28;19;9;;;;;;;3;
File;PathConverterTest.java;;77;43;39;;;;59;34;25;;;;;;;0;
File;PathProperties.java;;49;32;8;;;;22;14;8;;;;;;;0;
File;PathPropertiesTest.java;;41;16;24;;;;34;13;21;;;;;;;0;
File;PlainOldOptionParserTest.java;;12;9;3;;;;9;8;1;;;;;;;0;
File;PopulatedOptionSetTest.java;;39;20;12;;;;26;14;12;;;;;;;0;
File;PosixlyCorrectOptionParserTest.java;;37;17;17;;;;24;13;11;;;;;;;0;
File;PosixlyCorrectTest.java;;29;13;17;;;;26;12;14;;;;;;;0;
File;Problematic.java;;16;7;3;;;;10;7;3;;;;;;;0;
File;PunctuationInLongOptionTest.java;;34;18;9;;;;20;12;8;;;;;;;0;
File;PunctuationInShortOptionTest.java;;25;14;6;;;;15;10;5;;;;;;;0;
File;Reflection.java;;70;23;38;;;;51;22;29;;;;;;;2;
File;ReflectionException.java;;7;4;2;;;;5;4;1;;;;;;;0;
File;ReflectionTest.java;;57;30;25;;;;42;24;18;;;;;;;0;
File;ReflectionUtilityClassTest.java;;7;4;1;;;;5;4;1;;;;;;;0;
File;RegexMatcher.java;;41;20;15;;;;24;16;8;;;;;;;1;
File;RegexMatcherTest.java;;44;26;11;;;;29;19;10;;;;;;;0;
File;RequiredArgumentOptionSpec.java;;16;7;5;;;;11;6;5;;;;;;;1;
File;RequiredArgumentOptionSpecEqualsHashCodeTest.java;;11;6;2;;;;6;4;2;;;;;;;0;
File;RequiredArgumentOptionSpecOptionsImmutabilityTest.java;;7;4;1;;;;4;3;1;;;;;;;0;
File;RequiredArgumentOptionSpecValuesImmutabilityTest.java;;24;13;5;;;;12;7;5;;;;;;;0;
File;RequiredIfAnyTest.java;;44;22;19;;;;31;16;15;;;;;;;0;
File;RequiredIfExample.java;;11;5;5;;;;9;5;4;;;;;;;0;
File;RequiredIfTest.java;;64;29;29;;;;45;20;25;;;;;;;0;
File;RequiredOptionsTest.java;;41;20;15;;;;25;14;11;;;;;;;0;
File;RequiredUnlessAnyTest.java;;44;22;22;;;;33;17;16;;;;;;;0;
File;RequiredUnlessExample.java;;11;5;5;;;;9;5;4;;;;;;;0;
File;RequiredUnlessTest.java;;66;31;30;;;;47;22;25;;;;;;;0;
File;Row.java;;22;10;9;;;;16;8;8;;;;;;;1;
File;RowEqualsHashCodeTest.java;;17;9;4;;;;9;6;3;;;;;;;0;
File;Rows.java;;56;23;26;;;;48;26;22;;;;;;;1;
