Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.genetics.GeneticAlgorithmTestPermutations.test();88.75;1;41;0;0;0;0
org.apache.commons.math4.genetics.ListPopulationTest.testGetFittestChromosome();13;1;3;0;0;1;0.1111111111111111
org.apache.commons.math4.genetics.ListPopulationTest.testChromosomeListConstructorPopulationLimitNotPositive();5;0;0;4;0.3076923076923077;1;0.25
org.apache.commons.math4.genetics.ListPopulationTest.testConstructorListOfChromosomesBiggerThanPopulationSize();6;0;0;3;0.23076923076923078;1;0.25
org.apache.commons.math4.genetics.ListPopulationTest.testSetPopulationLimitTooSmall();5;0;0;4;0.5;1;0.3333333333333333
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testOnStraightLine();7;0;0;6;0.6;1;0.3333333333333333
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testOnDistortedSine();7;0;0;0;0;0;0
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testIncreasingRobustnessItersIncreasesSmoothnessWithOutliers();7;0;0;0;0;0;0
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testInsufficientBandwidth();7;0;0;0;0;0;0
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testCompletelyIncorrectBandwidth1();4;0;0;2;0.2;1;0.3333333333333333
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testCompletelyIncorrectBandwidth2();4;0;0;0;0;0;0
org.apache.commons.math4.analysis.interpolation.LoessInterpolatorTest.testMath296withoutWeights();7;0;0;0;0;0;0
org.apache.commons.math4.ml.neuralnet.MapUtilsTest.testSort();29;1;8;13;1;8;0.7272727272727273
org.apache.commons.math4.util.MathUtilsTest.testCheckFinite();10;1;3;7;1;1;0.5
org.apache.commons.math4.util.MathUtilsTest.testIndicatorInt();4.5;0;0;6;0.75;2;0.6666666666666666
org.apache.commons.math4.util.MathUtilsTest.testSignInt();4.5;0;0;0;0;0;0
org.apache.commons.math4.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testNonEmptyData();4;0;0;3;0.21428571428571427;1;0.08333333333333333
