Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testOperators2();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testOperators3();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testModulo1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testOperators4();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder01();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder02();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder03();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder04();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder05();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder06();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;23;1;7;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder5();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder07();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5
net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5
